                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.50652,                  0.665,                 1.1274,                 1.0165,                0.80703,                0.90226,                0.97549,                0.86427,                0.80703,                0.90226,                0.97549,                0.74283,                 0.5008,                 1.3757,                 1.6556,                 1.0995,               0.000458,               0.000458,               0.000458
                     35,                0.55303,                0.84472,                 1.0594,                 1.0194,                0.82043,                0.95938,                 0.9753,                0.86866,                0.82043,                0.95938,                 0.9753,                0.77638,                0.50054,                 1.2262,                  1.558,                 1.1215,             0.00043325,             0.00043325,             0.00043325
                     36,                0.50571,                0.87429,                 1.0424,                  1.006,                0.87704,                0.93705,                0.97557,                0.84676,                0.87704,                0.93705,                0.97557,                0.83073,                 0.5235,                0.90066,                 1.5472,                 1.1682,              0.0004085,              0.0004085,              0.0004085
                     37,                0.53719,                0.86333,                 1.0518,                 1.0583,                0.89822,                0.91044,                0.98366,                0.85702,                0.89822,                0.91044,                0.98366,                0.86752,                0.52234,                 0.6651,                 1.5229,                 1.1517,             0.00038375,             0.00038375,             0.00038375
                     38,                0.46978,                0.71757,                 1.0039,                0.98115,                0.93734,                0.92685,                0.98658,                0.90005,                0.93734,                0.92685,                0.98658,                0.90325,                0.44416,                0.59093,                 1.3851,                 1.0729,               0.000359,               0.000359,               0.000359
                     39,                 0.5225,                0.76923,                 1.1149,                 1.0164,                0.93994,                0.98258,                0.99048,                0.91956,                0.93994,                0.98258,                0.99048,                0.92012,                0.41087,                0.55938,                 1.3028,                 1.0388,             0.00033425,             0.00033425,             0.00033425
                     40,                0.51916,                0.77123,                  1.054,                 1.0379,                0.98588,                0.96032,                0.99211,                0.92761,                0.98588,                0.96032,                0.99211,                0.94209,                0.40628,                0.53328,                 1.2537,                 1.0295,              0.0003095,              0.0003095,              0.0003095
                     41,                0.51859,                0.85669,                 1.9453,                 1.1425,                0.98659,                0.95297,                0.98931,                0.89992,                0.98659,                0.95297,                0.98931,                0.93703,                0.44064,                0.53689,                  1.397,                 1.0329,             0.00028475,             0.00028475,             0.00028475
                     42,                0.49996,                0.66845,                 1.7014,                 1.1235,                0.95806,                0.95432,                0.99085,                0.87316,                0.95806,                0.95432,                0.99085,                 0.9179,                0.50168,                0.54335,                  1.682,                 1.0876,                0.00026,                0.00026,                0.00026
                     43,                 0.5371,                0.66373,                 1.7563,                  1.147,                0.96926,                0.97163,                0.99216,                0.83979,                0.96926,                0.97163,                0.99216,                0.92322,                0.59191,                0.54122,                 1.9582,                 1.1781,             0.00023525,             0.00023525,             0.00023525
                     44,                0.49508,                0.63714,                 1.5933,                 1.1279,                0.98498,                0.97238,                0.99135,                0.82038,                0.98498,                0.97238,                0.99135,                0.92694,                0.60127,                0.53559,                 2.0238,                 1.1827,              0.0002105,              0.0002105,              0.0002105
                     45,                0.50951,                0.65638,                 1.6555,                 1.1366,                0.98179,                0.98529,                0.99431,                0.84821,                0.98179,                0.98529,                0.99431,                0.93192,                 0.5644,                0.53363,                 1.8792,                 1.1332,             0.00018575,             0.00018575,             0.00018575
                     46,                0.40954,                0.63721,                 1.5862,                 1.0466,                0.98034,                0.97883,                0.99431,                0.86914,                0.98034,                0.97883,                0.99431,                0.93456,                0.50491,                0.53013,                 1.6928,                 1.0683,               0.000161,               0.000161,               0.000161
                     47,                0.38584,                0.57825,                 1.4648,                 1.0737,                0.98569,                0.97503,                0.99368,                0.88954,                0.98569,                0.97503,                0.99368,                0.93377,                0.45728,                 0.5305,                 1.5045,                 1.0187,             0.00013625,             0.00013625,             0.00013625
                     48,                0.44609,                0.59255,                 1.5382,                 1.1102,                0.98697,                 0.9745,                0.99368,                0.92111,                0.98697,                 0.9745,                0.99368,                0.93307,                0.41853,                0.53176,                 1.3902,                0.98327,              0.0001115,              0.0001115,              0.0001115
                     49,                0.42427,                 0.5658,                 1.4018,                   1.05,                0.99009,                 0.9733,                0.99368,                0.93173,                0.99009,                 0.9733,                0.99368,                0.93941,                0.38675,                0.52456,                 1.3388,                0.95772,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.40539,                0.52745,                 1.3535,                 1.0126,                0.97644,                0.99461,                0.99431,                0.94213,                0.97644,                0.99461,                0.99431,                 0.9442,                0.36365,                0.51357,                 1.2935,                0.94241,                6.2e-05,                6.2e-05,                6.2e-05
